Xin,Yin,Zin,Xout,Yout,Zout,Offset_X,Offset_Y,Offset_Z,Label,
713.761,-409.97,-300.0,-233.8690948486328,422.9181213378906,-156.43429565429688,-947.6300948486328,832.8881213378907,143.56570434570312,large_gear_pt_left_top,
535.023,163.09,-300.0,336.2178039550781,603.6763305664062,-156.48724365234375,-198.8051960449219,440.5863305664062,143.51275634765625,large_gear_pt_right_bottom,
518.935,-108.676,-300.0,65.0655746459961,619.2763061523438,-161.29434204101562,-453.86942535400385,727.9523061523438,138.70565795898438,small_gear_pt_right_top,
751.713,146.055,-300.0,322.5904846191406,387.07757568359375,-154.26263427734375,-429.12251538085934,241.02257568359374,145.73736572265625,small_gear_kt_bottom_left,
