Xin,Yin,Zin,Xout,Yout,Zout,Offset_X,Offset_Y,Offset_Z,
721.891,-386.044,-288.0,-236.2463836669922,428.0723571777344,-140.0,-958.1373836669922,814.1163571777344,148.0,
540.792,184.937,-288.0,336.2427062988281,604.9510498046875,-144.0,-204.5492937011719,420.0140498046875,144.0,
527.216,-116.845,-288.0,36.09813690185547,621.83935546875,-144.0,-491.11786309814454,738.68435546875,144.0,
756.305,183.247,-288.0,332.0020446777344,387.5552673339844,-140.0,-424.3029553222656,204.30826733398436,148.0,
