Xin,Yin,Zin,Xout,Yout,Zout,Offset_X,Offset_Y,Offset_Z,Label,
774.977,-362.104,-300.0,-245.66311645507812,449.3331604003907,-156.0,-1020.6401164550781,811.4371604003907,144.0,large_gear_kt_far_left,
599.022,47.188,-300.0,160.23309326171875,625.814453125,-156.0,-438.7889067382813,578.626453125,144.0,large_gear_pt_near_right,
567.736,-254.054,-300.0,-135.73512268066406,656.9853515625,-156.0,-703.471122680664,911.0393515625,144.0,small_gear_pt_mid_right,
756.043,238.336,-300.0,353.0309753417969,472.1421203613281,-156.0,-403.01202465820313,233.8061203613281,144.0,large_gear_near_left_in_pt,
