Xin,Yin,Zin,Xout,Yout,Zout,Offset_X,Offset_Y,Offset_Z,
721.896,-391.424,-288.0,446.4091796875,-429.8289489746094,-139.0,-275.48682031249996,-38.4049489746094,149.0,
546.456,178.394,-288.0,-121.93453979492188,-605.9541625976562,-139.0,-668.3905397949219,-784.3481625976563,149.0,
521.527,-100.622,-288.0,161.5321807861328,-630.6490478515625,-139.0,-359.99481921386723,-530.0270478515625,149.0,
757.757,183.418,-288.0,-123.93865966796875,-394.1811218261719,-139.0,-881.6956596679687,-577.5991218261719,149.0,
