Xin,Yin,Zin,Xout,Yout,Zout,Offset_X,Offset_Y,Offset_Z,Label,
773.016,-382.422,-300.252,-268.25885009765625,444.08819580078125,-155.45242309570312,-1041.2748500976563,826.5101958007813,144.79957690429688,large_gear_kt_far_left,
594.865,160.391,-299.907,272.00537109375,625.390380859375,-154.21035766601562,-322.85962890625,464.99938085937504,145.69664233398436,large_gear_pt_near_right,
517.481,-90.346,-299.989,17.36663818359375,701.1651611328125,-153.47201538085938,-500.11436181640624,791.5111611328125,146.5169846191406,small_gear_pt_mid_right,
794.437,144.343,-299.828,255.64596557617188,430.5195617675781,-153.642822265625,-538.7910344238281,286.17656176757816,146.18517773437497,small_gear_kt_near_left,
595.169,-350.987,-299.0,-236.39479064941406,619.9927368164062,-153.8603515625,-831.563790649414,970.9797368164063,145.1396484375,large_gear_pt_far_right,
