Xin,Yin,Zin,Xout,Yout,Zout,Offset_X,Offset_Y,Offset_Z,Label,
773.018,-214.12,-230.0,-85.6829833984375,460.6377868652344,-107.53131103515625,-858.7009833984375,674.7577868652344,122.46868896484375,large_gear_kt_far_left,
764.107,358.942,-230.0,487.6817626953125,473.34759521484375,-104.67726135253906,-276.42523730468747,114.40559521484374,125.32273864746094,large_gear_pt_near_left,
569.934,87.515,-230.0,216.27218627929688,670.8617553710938,-108.51737976074219,-353.6618137207031,583.3467553710938,121.48262023925781,small_gear_pt_mid_right,
602.136,-191.163,-230.0,-60.748348236083984,635.3837890625,-107.04414367675781,-662.884348236084,826.5467890625,122.95585632324219,large_gear_pt_far_right,
