Xin,Yin,Zin,Xout,Yout,Zout,Offset_X,Offset_Y,Offset_Z,Label,
773.018,-214.12,-230.0,150.00001525878906,79.99999237060547,179.99996948242188,-623.017984741211,294.1199923706055,409.9999694824219,large_gear_kt_far_left,
764.918,232.974,-230.0,350.42266845703125,465.2261962890625,-105.0,-414.49533154296876,232.2521962890625,125.0,large_gear_pt_near_left,
576.119,-97.051,-230.0,18.92753791809082,655.0269775390625,-105.0,-557.1914620819092,752.0779775390625,125.0,small_gear_pt_mid_right,
603.255,124.724,-230.0,243.18016052246094,628.266357421875,-105.0,-360.07483947753906,503.542357421875,125.0,large_gear_pt_near_right,
