Time,PartName,Robot_X,Robot_Y,Robot_Z,Db_X,Db_Y,Db_Z,Offset_X,Offset_Y,Offset_Z
1566490432528, part_large_gear_in_kt_2, 782.79,-384.22,-289.982, 776.1, -362.2, -290.0, -6.642999999999915,21.988,0
1566490734445, part_small_gear_in_pt_1, 566.52,-267.84,-289.999, 566.5, -249.8, -290.0, -0.033999999999991815,18.06499999999997,0
1566491976837, part_large_gear_in_kt_1, 785.9,-138.48,-289.997, 782.6, -121.8, -290.0, -3.3450000000000273,16.664999999999992,0
1566492800039, part_large_gear_in_pt_2, 597.36,32.98,-290.002, 599.0, 47.2, -290.0, 1.65199999999993,14.198,0
1566561425140, part_large_gear_in_pt_1, 756.64,226.77,-289.994, 756.6, 236.8, -290.0, -0.011999999999943611,9.988,0
1566562032904, part_large_gear_in_pt_1, 752.81,117.57,-290.01, 752.8, 127.0, -290.0, -0.009999999999990905,9.408000000000001,0
