Name,X (mm),Y (mm),Z (mm),Rx (deg),Ry (deg),Rz (deg),Approach,Joints
toolChangerPose1,-441.6440734863281,363.2685852050781,18.93067169189453,-179.997409093592,-0.006930423302705848,-40.996044122434256,false,"140.56187801671564,41.619785025990375,-31.985946636178227,0.0037037984767924305,-58.020797260168685,178.440112736331"
toolChangerPose1,-441.6622314453125,363.27532958984375,168.93064880371094,-179.99728196888177,-0.0072704725138931685,-40.99602890192288,true,"140.56242443184922,34.28519321635593,-10.004424817363239,0.002528735591854861,-80.00292781959341,178.44110994394978"
toolChangerPose2,-273.2419128417969,363.2796325683594,19.898860931396484,-179.9981338130224,-0.0049925415137846265,-40.99098200619504,false,"126.94951590728763,24.071471766040894,-42.68769193285359,0.005771909220983619,-47.31592715194821,192.05558941202037"
toolChangerPose2,-273.2550354003906,363.2844543457031,169.89889526367188,-179.99814003443748,-0.004975900108637839,-40.990962986143835,true,"126.95021258658295,13.210011887143486,-18.197529570713435,0.0029141562381247038,-71.80700817453167,192.05791167633805"
