Name,X (mm),Y (mm),Z (mm),Rx (deg),Ry (deg),Rz (deg),Approach,Joints
tst1,349.1478576660156,23.94767951965332,136.05093383789062,179.9999663543036,1.3937511563609177E-5,-134.99707031256335,false,"3.924, -2.980, -25.657, 0.000, -64.343, 221.079"
tst2,449.1480712890625,23.94759750366211,136.05084228515625,168.01557922363287,11.538833618164098,-160.5716094970703,false,"0.400, 12.492, -24.929, -17.604, -59.314, 208.517"
returning,585.347412109375,185.6226348876953,22.899993896484375,-179.9999879210408,-5.003268716636429E-6,-135.0000000000005,false,"17.595, 48.614, -25.977, 0.000, -64.023, 207.405"
present_gear,190.82496643066406,541.239501953125,-52.16091537475586,-90.77584075927736,29.479396820068356,-20.390380859375,false,"70.674, 48.005, -59.824, -0.795, 59.151, 240.918"
flip_2_2,500.2352294921875,23.608150482177734,94.78273010253906,179.99963074935977,8.327377774907683E-5,-154.58241273174391,false,"2.702, 24.722, -27.744, -0.000, -62.258, 202.716"
flip_2_6,500.23358154296875,23.20285415649414,177.88967895507812,179.99764636120915,-0.00906418510395964,29.112319956743715,false,"2.655, 20.901, -14.570, -0.002, -75.421, 26.457"
new_flip_2_2,513.1978149414062,34.64594268798828,94.67021179199219,179.99738893274198,5.3658308214036E-4,-156.7743990360649,false,"3.862, 26.934, -26.751, -0.002, -63.256, 199.365"
prep_new_flip_2_2,513.1978759765625,34.64597702026367,180.95016479492188,179.99739810804974,5.346982526972285E-4,-156.77436831159162,false,"3.862, 23.239, -13.175, -0.003, -76.827, 199.364"
flip_2_3,513.1978149414062,-55.7540397644043,94.670166015625,179.99739212038526,5.35928016258682E-4,-156.77439880385668,false,"-6.201, 27.235, -26.608, -0.003, -63.393, 209.428"
flip_2_4,513.1972045898438,-55.75414276123047,94.6693115234375,179.9981631568717,-0.008344766185631874,24.82786372685613,false,"-6.201, 27.233, -26.609, -0.004, -63.383, 31.030"
flip_2_5,513.197021484375,34.245792388916016,94.66937255859375,179.9978861580572,-0.009603158538128096,24.827892348516027,false,"3.817, 26.925, -26.755, -0.002, -63.235, 21.012"
