X-Axis,statusabsTime,statuscmdId,statusfx,statusfy,statusfz,statusrelTime,statusx,statusy,statusz
172.0000000000,1572533294.744,3393.000000000,-14.32082100000,-1.549755000000,-43.86004000000,994.3100000000,279.2099609375,-257.2000732422,-109.5616531372
173.0000000000,1572533294.821,3393.000000000,-14.33788500000,-1.541168000000,-43.90430400000,994.3870000000,279.2099609375,-257.2000732422,-109.5616531372
174.0000000000,1572533294.914,3393.000000000,-14.31700600000,-1.532844000000,-43.87369600000,994.4800000000,279.2099609375,-257.2000732422,-109.5616531372
175.0000000000,1572533294.991,3393.000000000,-14.34507400000,-1.550481000000,-43.95727200000,994.5570000000,279.2099609375,-257.2000732422,-109.5616531372
176.0000000000,1572533295.069,3393.000000000,-14.34644700000,-1.513816000000,-43.95650400000,994.6350000000,279.2099609375,-257.2000732422,-109.5616531372
177.0000000000,1572533295.145,3393.000000000,-14.35150100000,-1.549308000000,-44.06212800000,994.7110000000,279.2099609375,-257.2000732422,-109.5616531372
178.0000000000,1572533295.224,3393.000000000,-14.35323200000,-1.547345000000,-43.94220800000,994.7900000000,279.2099609375,-257.2000732422,-109.5616531372
179.0000000000,1572533295.313,3393.000000000,-14.35806300000,-1.556524000000,-44.08840800000,994.8790000000,279.2099609375,-257.2000732422,-109.5616531372
180.0000000000,1572533295.394,3393.000000000,-14.36055100000,-1.527097000000,-44.06166400000,994.9600000000,279.2099609375,-257.2000732422,-109.5616531372
181.0000000000,1572533295.470,3393.000000000,-14.33467500000,-1.517747000000,-44.04890800000,995.0360000000,279.2099609375,-257.2000732422,-109.5616531372
182.0000000000,1572533295.553,3393.000000000,-14.32305000000,-1.526407000000,-43.93182400000,995.1190000000,279.2099609375,-257.2000732422,-109.5616531372
183.0000000000,1572533295.628,3393.000000000,-14.33063500000,-1.550251000000,-43.94486000000,995.1940000000,279.2099609375,-257.2000732422,-109.5616531372
184.0000000000,1572533295.718,3394.000000000,-13.99124600000,-0.8412130000000,-34.99245600000,995.2840000000,279.2099609375,-257.2000732422,-109.5616531372
185.0000000000,1572533295.800,3395.000000000,-13.96762400000,-0.7838850000000,-35.13923600000,995.3660000000,279.2100219727,-257.2001342773,-109.5264968872
186.0000000000,1572533296.011,3395.000000000,-13.93722200000,-0.7853050000000,-35.10263200000,995.5770000000,279.2099914551,-257.2001037598,-108.9994735718
187.0000000000,1572533296.149,3395.000000000,-13.92253500000,-0.7791640000000,-35.08937600000,995.7150000000,279.2100219727,-257.2000732422,-107.9999847412
188.0000000000,1572533296.237,3396.000000000,-13.94249100000,-0.8239770000000,-35.09374000000,995.8030000000,279.2100219727,-257.2000732422,-107.9999847412
189.0000000000,1572533296.324,3397.000000000,-14.01415600000,-0.8272060000000,-35.07448400000,995.8900000000,279.2100830078,-257.2001037598,-107.9468841553
190.0000000000,1572533296.403,3397.000000000,-13.95831100000,-0.8339570000000,-35.10488800000,995.9690000000,279.2100524902,-257.2001037598,-106.6460113525
191.0000000000,1572533296.481,3397.000000000,-13.94685500000,-0.8185840000000,-35.07368400000,996.0470000000,279.2100524902,-257.2001037598,-105.0530853271
192.0000000000,1572533296.560,3397.000000000,-13.97810800000,-0.7869470000000,-35.08504400000,996.1260000000,279.2100830078,-257.2000732422,-103.4601516724
